first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Lavoy,Allen,2015-01-07,IND,GSW,1993,5,6,0,0,2,2,2,7,9,3,0,0,2,1,12,26.75
Marc,Gasol,2015-01-07,MEM,ATL,1967,6,12,0,0,4,4,1,6,7,3,2,2,3,5,16,35.75
Gerald,Green,2015-01-07,PHO,MIN,1359,8,16,3,8,2,2,0,3,3,0,0,1,1,2,21,27.75
Eric,Bledsoe,2015-01-07,PHO,MIN,1964,7,17,0,2,3,4,2,5,7,1,5,0,3,1,17,35.75
Marcin,Gortat,2015-01-07,WAS,NYK,1732,5,9,0,0,2,4,5,6,11,2,1,1,2,2,12,31.75
Chandler,Parsons,2015-01-07,DAL,DET,2147,5,13,2,5,3,3,0,3,3,4,2,0,0,3,15,29.75
Devin,Harris,2015-01-07,DAL,DET,1289,5,8,2,3,2,3,0,3,3,2,2,0,1,3,14,25.25
Josh,Smith,2015-01-07,HOU,CLE,1553,7,10,1,2,1,4,0,5,5,2,0,2,2,2,16,28.75
Corey,Brewer,2015-01-07,HOU,CLE,1241,4,8,2,3,2,2,1,0,1,3,2,0,0,2,12,22.75
Jordan,Clarkson,2015-01-07,LAL,LAC,1213,6,10,0,1,2,2,1,3,4,2,0,0,0,1,14,22.0
Kevin,Durant,2015-01-07,OKC,SAC,1954,8,20,3,7,5,7,1,8,9,0,1,1,4,3,24,38.75
Nerlens,Noel,2015-01-07,PHI,MIL,1708,6,10,0,0,1,2,4,1,5,1,2,2,2,3,13,27.75
Kevin,Love,2015-01-07,CLE,HOU,2335,7,19,0,3,3,6,3,13,16,4,0,0,1,3,17,42.5
Marreese,Speights,2015-01-07,GSW,IND,1560,8,12,0,0,2,2,1,2,3,0,0,0,1,3,18,21.25
Reggie,Jackson,2015-01-07,OKC,SAC,1309,6,11,2,4,0,0,2,3,5,4,0,0,2,0,14,26.25
J.J.,Hickson,2015-01-07,DEN,ORL,1776,4,5,0,0,3,4,0,10,10,1,2,1,3,1,11,29.5
K.J.,McDaniels,2015-01-07,PHI,MIL,1782,5,8,0,1,4,4,3,3,6,0,3,1,5,1,14,27.0
Dirk,Nowitzki,2015-01-07,DAL,DET,1728,8,19,0,3,3,4,0,5,5,2,1,1,1,1,19,31.75
Gerald,Henderson,2015-01-07,CHO,NOP,2134,7,17,0,0,2,2,0,7,7,6,0,1,2,1,16,34.75
Rasual,Butler,2015-01-07,WAS,NYK,1422,6,11,2,4,0,0,0,1,1,2,1,2,1,1,14,24.75
Jerryd,Bayless,2015-01-07,MIL,PHI,1557,6,6,0,0,0,0,0,5,5,4,2,0,4,3,12,26.25
Alex,Len,2015-01-07,PHO,MIN,1622,4,6,0,1,1,1,3,5,8,2,0,5,3,3,9,30.5
Zaza,Pachulia,2015-01-07,MIL,PHI,1932,5,10,0,0,1,1,3,9,12,7,1,0,4,5,11,36.5
Arron,Afflalo,2015-01-07,DEN,ORL,2580,7,13,0,2,3,6,0,6,6,3,0,0,2,2,17,28.0
Shane,Larkin,2015-01-07,NYK,WAS,1654,4,8,2,4,0,0,0,3,3,2,4,0,1,2,10,25.25
Brandon,Jennings,2015-01-07,DET,DAL,1579,7,18,0,2,0,0,2,2,4,6,1,0,1,0,14,29.5
Al,Horford,2015-01-07,ATL,MEM,1841,5,15,0,0,2,2,2,1,3,4,2,1,0,1,12,27.75
Joe,Johnson,2015-01-07,BRK,BOS,2217,7,16,1,7,2,2,1,2,3,3,1,1,3,1,17,28.25
JaKarr,Sampson,2015-01-07,PHI,MIL,1452,5,7,1,2,0,0,2,5,7,5,1,0,4,3,11,27.75
Pero,Antic,2015-01-07,ATL,MEM,1027,4,5,3,4,2,2,0,3,3,0,1,0,2,2,13,19.25
Brandon,Knight,2015-01-07,MIL,PHI,1915,6,12,4,7,2,4,0,3,3,5,0,0,5,1,18,28.75
Trey,Burke,2015-01-07,UTA,CHI,2006,6,13,2,4,3,4,1,2,3,4,0,0,3,3,17,26.25
Tristan,Thompson,2015-01-07,CLE,HOU,1939,2,7,0,0,7,7,5,1,6,0,1,1,1,4,11,22.0
Kevin,Garnett,2015-01-07,BRK,BOS,1372,4,9,0,0,2,2,1,7,8,3,1,1,1,3,10,28.0
Gorgui,Dieng,2015-01-07,MIN,PHO,2258,3,10,0,0,2,4,6,3,9,4,1,1,1,1,8,28.75
Evan,Fournier,2015-01-07,ORL,DEN,1108,4,8,2,5,4,4,2,1,3,1,0,0,2,2,14,19.25
Kyle,Korver,2015-01-07,ATL,MEM,2040,5,10,4,9,0,0,0,3,3,1,2,0,3,0,14,23.75
Jose,Calderon,2015-01-07,NYK,WAS,1940,7,14,2,5,1,1,1,3,4,3,1,0,4,3,17,27.5
Thaddeus,Young,2015-01-07,MIN,PHO,1737,6,18,1,2,0,0,3,5,8,4,2,1,2,1,13,34.5
Evan,Turner,2015-01-07,BOS,BRK,1586,3,9,0,2,0,0,1,7,8,7,2,0,0,3,6,30.5
Andrew,Nicholson,2015-01-07,ORL,DEN,1238,4,10,3,4,0,0,2,2,4,1,1,0,0,0,11,21.0
Andre,Drummond,2015-01-07,DET,DAL,1801,3,11,0,0,0,0,7,12,19,1,1,1,0,3,6,35.25
Eric,Gordon,2015-01-07,NOP,CHO,2339,5,13,3,7,1,2,0,2,2,4,1,2,2,3,14,29.0
